B/C row-gated bridge source verifier
step family=B rank=4 m=6 mode=exact margin=89390813913040
step family=B rank=4 m=7 mode=exact margin=26152528694268668
step family=B rank=4 m=8 mode=exact margin=8861925337861793648
step family=B rank=4 m=9 mode=exact margin=3413515778248225080152
step family=B rank=4 m=10 mode=exact margin=1475466418077654776866392
step family=B rank=4 m=11 mode=exact margin=709510108129047929960260722
step family=B rank=4 m=12 mode=exact margin=377499534903700203700486906676
step family=B rank=4 m=13 mode=exact margin=221528859922203103906758778311592
step family=B rank=4 m=14 mode=exact margin=143143698088171735836059589104019216
step family=B rank=4 m=15 mode=exact margin=101739118641182121806323672466420481656
step family=B rank=4 m=16 mode=exact margin=79437767981489319362353058599613943648784
step family=B rank=4 m=17 mode=exact margin=67988265282991197681731309104627707011708912
step family=B rank=4 m=18 mode=exact margin=63558717579489988470450949092964504298265671136
step family=B rank=4 m=19 mode=exact margin=64586119371969005091612629627808146827701492813284
step family=B rank=4 m=20 mode=exact margin=70922571704585315124543671704194689298844792564275640
step family=B rank=4 m=21 mode=exact margin=83629159587755089762395580083639531130615010376378730864
step family=B rank=4 m=22 mode=exact margin=105221582665737609865359392000735647976698398997471034539968
step family=B rank=4 m=23 mode=exact margin=140418665508540756826488758574564471829448256667311503663132248
step family=B rank=4 m=24 mode=exact margin=197677056421276277569510412155968202849739923132906490815313201088
step family=B rank=4 m=25 mode=exact margin=292151192905726781375704026846511634135281249782207544496335477507216
step family=B rank=4 m=26 mode=exact margin=451390480656644621168144477072117793399938080687672102378713105319059384
step family=B rank=4 m=27 mode=exact margin=726448267641678464980781980501114951938320448058619581095203810669785023814
step family=B rank=4 m=28 mode=exact margin=1213916315107476646069472858079679571516659123395466754341063707609428958341708
step family=B rank=4 m=29 mode=interval margin=2100394053944572351365974029320047841640181759698008575272112242596314361793197672
row family=B rank=4 m_range=3..29 exact_through=61 exact_steps=26 interval_steps=1 minimum_m=3 minimum_margin=11921226
step family=B rank=5 m=4 mode=exact margin=1874422296
step family=B rank=5 m=5 mode=exact margin=393513056638
step family=B rank=5 m=6 mode=exact margin=106299941414928
step family=B rank=5 m=7 mode=exact margin=35666747089367180
step family=B rank=5 m=8 mode=exact margin=14420837364993094464
step family=B rank=5 m=9 mode=exact margin=6848612181145414539756
step family=B rank=5 m=10 mode=exact margin=3740928241477534200420784
step family=B rank=5 m=11 mode=exact margin=2311166911563073728005756632
step family=B rank=5 m=12 mode=exact margin=1593869614697680176900971679320
step family=B rank=5 m=13 mode=exact margin=1214658683920132656644774988421730
step family=B rank=5 m=14 mode=exact margin=1015126261809354868104987616475860080
step family=B rank=5 m=15 mode=exact margin=925141986375075324999725652461587579720
step family=B rank=5 m=16 mode=exact margin=915774066090534956581460161389876356991680
step family=B rank=5 m=17 mode=exact margin=981972769236285281467263069915854010666096880
step family=B rank=5 m=18 mode=exact margin=1138720636227862889460852197417442702212931468080
step family=B rank=5 m=19 mode=exact margin=1426631826206468311414059827937030039527444832896160
step family=B rank=5 m=20 mode=exact margin=1929731646174613065088018942494591466827462467191842032
step family=B rank=5 m=21 mode=exact margin=2816265200300232085503433443861600106564818990054793334696
step family=B rank=5 m=22 mode=interval margin=4178643923536770196680371183406557143670667469060420848679392
step family=B rank=5 m=23 mode=interval margin=6816771178048161379483724964861539526123816112754472458851903140
step family=B rank=5 m=24 mode=interval margin=12160115539640823709977100261456704547100719271740702298949831436832
step family=B rank=5 m=25 mode=interval margin=23314421376670822483695793404129780935763577707797481855895881722618580
step family=B rank=5 m=26 mode=interval margin=47555533458693714370435022294372631804754047120164824284433582441647374880
step family=B rank=5 m=27 mode=interval margin=102421728712955881851208119887924275016289623501220462166122605694651357793720
step family=B rank=5 m=28 mode=interval margin=230035125732993159048448983205337574049826749330220221724247873587517928014377240
step family=B rank=5 m=29 mode=interval margin=501435680769487244106501767126629866923598608403910741846990740649743896273029130142
row family=B rank=5 m_range=4..29 exact_through=47 exact_steps=18 interval_steps=8 minimum_m=4 minimum_margin=1874422296
