COMMAND: ./post_m29_bc_interval_formula_mpfr
B/C interval fixed-template direct-tail MPFR onset verifier
b_rank_lo=14 b_rank_hi=217 c_rank_lo=20 c_rank_hi=217 include_b=1 include_c=1 b_radius_slope=22 c_radius_slope=19 b_radius_offset=0 c_radius_offset=0 search_lo=63 search_hi=40001 slack=32 cheb_degree=8 cheb_scale=12000 cutoff=80 majorant_degree=32 log10_neg=-15 mpfr_precision=384 mpfr_version=4.2.1 max_fact=94396 OpenMP threads=32
CONDITIONAL_INPUT requires uniform B/C Chebyshev negative-tail bound degree=8 scale=12000 cutoff=80 majorant_degree=32 log10_negative_upper<=-15
factorial_log_precompute_start max_fact=94396
factorial_log_precompute_done max_fact=94396
row	onset	margin_lower_log10	slack_target	slack_margin_lower_log10	radius	c_push_lower
B_180	20913	3.61891120782164153018775	20945	74.9519668528522463357145	3960	61018.35421307689758352
B_181	21157	4.43937755436481361886791	21189	75.8541872419385811918333	3982	61719.35421307689758352
B_182	21401	2.02477829217225572668319	21433	73.5208638784954911427566	4004	62424.35421307689758352
B_183	21647	0.818816734913501263452895	21679	72.3957056368337242968724	4026	63133.35421307689758352
B_184	21895	0.842628216986573283698845	21927	72.4998533155469427534819	4048	63846.35421307689758352
B_185	22145	2.08150749017940865897114	22177	73.8186070363907869075099	4070	64563.35421307689758352
B_186	22395	0.067966850709365216098214	22427	71.8844843734766452058818	4092	65284.35421307689758352
B_187	22649	3.75934147049448979572974	22681	75.6548256866359685284388	4114	66009.35421307689758352
B_188	22903	4.19464459606961571653244	22935	76.1686493223702733985095	4136	66738.35421307689758352
B_189	23157	1.34435662449421720047161	23189	73.3964406917357556435115	4158	67471.35421307689758352
B_190	23415	4.23109082706895353305522	23447	76.3608179959813633401898	4180	68208.35421307689758352
B_191	23673	3.82865683684936174316843	23705	76.0355957159306293536349	4202	68949.35421307689758352
B_192	23931	0.143529879367443843654509	23963	72.4272538445197797950405	4224	69694.35421307689758352
B_193	24193	2.19151937752993684983951	24225	74.5516064934626087909684	4246	70443.35421307689758352
B_194	24455	0.953310177400830154270918	24487	73.3893431207513211880957	4268	71196.35421307689758352
B_195	24719	0.93174879152434146707128	24751	73.4433147756511291513239	4290	71953.35421307689758352
B_196	24985	2.14770366694849642031227	25017	74.7343943683502628996947	4312	72714.35421307689758352
B_197	25251	0.0448709439698356449040486	25283	72.7062824302873774965583	4334	73479.35421307689758352
B_198	25521	3.7220725429083868210259	25553	76.4578052024668967057693	4356	74248.35421307689758352
B_199	25791	4.07699432348696654878586	25823	76.8866527963377099981566	4378	75021.35421307689758352
B_200	26061	1.11656387164022528800884	26093	73.9997569820619371348194	4400	75798.35421307689758352
B_201	26335	3.93156530951930247135018	26367	76.8879059999408806576306	4422	76579.35421307689758352
B_202	26609	3.42779036499428797811069	26641	76.4568956313015697580704	4444	77364.35421307689758352
B_203	26885	4.1453935378626096191933	26917	77.2468843660531784309821	4466	78153.35421307689758352
B_204	27161	1.53174430028291787085005	27193	74.7052456044340102049752	4488	78946.35421307689758352
B_205	27439	0.136114382824167842274323	27471	73.3812549443398300273242	4510	79743.35421307689758352
B_206	27721	4.56149095144780590215544	27753	77.8779033595524925204312	4532	80544.35421307689758352
B_207	28001	1.04592792538474838494692	28033	74.4332485188315586058694	4554	81349.35421307689758352
B_208	28285	3.35689391177875652912252	28317	76.8147627217414735186331	4576	82158.35421307689758352
B_209	28569	2.30142174308980717767534	28601	75.8294824372088403503171	4598	82971.35421307689758352
B_210	28855	2.48685899312977090263239	28887	76.0847588206830025073281	4620	83788.35421307689758352
B_211	29143	3.89801714119536057499752	29175	77.565406879365768261468	4642	84609.35421307689758352
B_212	29431	1.94693587900412889962887	29463	75.6834697802168957567175	4664	85434.35421307689758352
B_213	29721	1.21829403346584432237336	29753	75.023629773768478613045	4686	86263.35421307689758352
